"NBa7we src","d4r55","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a/ACg8ocI64k-imE6YEfjm3ShRcdbbatT3o57-K5rbbLEyN3uoi5oqTQ=w36-h36-p-rp-mo-br100","Tammy Krom","4 months ago","Chris is on outstanding man. I tried everyone and no one would help. I text him my info and do not have money and disabled. Him and his brother came over free of charge and moved my China cabinet that had been sitting for 3.days. moved it …"
"https://lh3.googleusercontent.com/a/ACg8ocIAb8jNOpfHB2DfaFe_WhXi-qKCwuMnoMIdjhSYg4nOAU0F7w=w36-h36-p-rp-mo-br100","Pradeep Nambiath","4 months ago","Highly recommend Southwest Hauling. Super easy to get hold of and perfect on time! Chris was super nice and helpful. Would not go anywhere else for your hauling needs…"
"https://lh3.googleusercontent.com/a-/ALV-UjVDxnYfVEslcLGOUdmOpoA_xlUqQqZ4Q5syOvm8BGmq0kWaLqdo=w36-h36-p-rp-mo-br100","Christina Wyrick","2 months ago","Highly recommend. I called him and he was able to come out the same day, loaded up my stuff and hauled it away in less than an hour. Very friendly as well!"
"https://lh3.googleusercontent.com/a-/ALV-UjUeYLOHrNum4LlE_G8CdSOteb-zrK51BGt-z9nVy7rQkg8objDt=w36-h36-p-rp-mo-br100","Robert Schultz","2 months ago","Had Chris remove a jacuzzi that had seen better days. He showed up early, worked quickly on dismantling the tub.
Was very careful removing it from the backyard to front of house, left no mess. …"
"https://lh3.googleusercontent.com/a/ACg8ocILO65_US3CGtUF75iwX-O4O79RP-pMT5xE76i82ZEt8Tb93w=w36-h36-p-rp-mo-br100","Chelsey Janik","3 months ago","Chris was very communicative and responded quickly to my inquiry. He was able to come out quickly as well. If I ever need junk removal I will definitely come to him again!"
"https://lh3.googleusercontent.com/a/ACg8ocJ8l_psNoXBtw-vcg1EQVipXn7pc0D1g6MeQeXDrOh3C71zEw=w36-h36-p-rp-mo-br100","Sheila Skridler","a month ago","Chris and his wife came over on a holiday to look at my yard. He could hear the stress in my voice.  Showed up both times we set up and filled his truck and trailer full both times.  I highly recommend him. Small job or large he will get it handled."
"https://lh3.googleusercontent.com/a/ACg8ocIyWUXQ6uzhbA-yvlWUqmTmrLFW25h9c2OxYaatjXZqq0cF4g=w36-h36-p-rp-mo-br100","Michael Griego","4 months ago","Chris does great work at a fair price! I wouldn’t choose anyone else for my hauling and junk removal!! He took care of my whole side yard that was packed and got it all done in the same day!!"
"https://lh3.googleusercontent.com/a-/ALV-UjWV6wwt9S1TOKzYDaKNV5_l1p94nmypitTrLSzhww43yvPeYsoB2Q=w36-h36-p-rp-mo-ba12-br100","Shanna Day","3 months ago","Chris! Can’t say enough good things about him and his services. He stopped what he was doing (ON A SATURDAY) and came to serve our team with a junk removal job. Professional. Kind. And so so helpful. Cannot recommend him enough!"
"https://lh3.googleusercontent.com/a-/ALV-UjVnYhQkqb3q30hKgbevE8Osc9YqALCLfpNvdhHDvLAlSm1oD40=w36-h36-p-rp-mo-br100","samylyn","4 months ago","Thank you Southwest Hauling & Junk Removal team! Outstanding job today on the construction debris removal. I appreciate you hauling it all away. Excellent same day service."
"https://lh3.googleusercontent.com/a/ACg8ocIQ5wHmurFlw1QEcauZFOTiqKE8vFzdVShgNBFwXYxwxcz1xg=w36-h36-p-rp-mo-br100","Candice Richins","3 months ago","Absolutely amazing!!! Transformed our old, junky barn into a usable space. Reliable, professional, and kind. Will definitely use Southwest Hauling & Junk Removal again and highly recommend to anyone!"
